,uniq_id,product_name,main_category,tokenized_description,cleaned_description,nb_tokens,nb_char
0,55b85ea15a1536d46b7190ad6fff8ce7,Elegance Polyester Multicolor Abstract Eyelet Door Curtain,Home Furnishing,"['abstract', 'eyelet', 'door', 'curtain', 'floral', 'curtain', 'abstract', 'eyelet', 'door', 'curtain', 'height', 'curtain', 'look', 'interior', 'curtain', 'made', 'high', 'fabric', 'eyelet', 'style', 'stitch', 'metal', 'ring', 'make', 'room', 'environment', 'curtain', 'ant', 'anti', 'give', 'bright', 'appeal', 'sure', 'eyelet', 'curtain', 'slide', 'draw', 'apart', 'first', 'thing', 'bright', 'sun', 'ray', 'want', 'wish', 'good', 'whole', 'world', 'draw', 'special', 'moment', 'given', 'soothing', 'print', 'bring', 'curtain', 'room', 'get', 'right', 'amount', 'sunlight', 'abstract', 'eyelet', 'door', 'curtain', 'height', 'designed', 'door', 'eyelet', 'name', 'abstract', 'door', 'curtain', 'content', 'curtain']",abstract eyelet door curtain floral curtain abstract eyelet door curtain height curtain look interior curtain made high fabric eyelet style stitch metal ring make room environment curtain ant anti give bright appeal sure eyelet curtain slide draw apart first thing bright sun ray want wish good whole world draw special moment given soothing print bring curtain room get right amount sunlight abstract eyelet door curtain height designed door eyelet name abstract door curtain content curtain,75,492
1,7b72c92c2f6c40268628ec5f14c6d590,Sathiyas Cotton Bath Towel,Baby Care,"['bath', 'towel', 'bath', 'towel', 'red', 'yellow', 'blue', 'bath', 'towel', 'self', 'bath', 'towel', 'name', 'bath', 'towel', 'men', 'red', 'yellow', 'blue', 'content', 'bath', 'towel']",bath towel bath towel red yellow blue bath towel self bath towel name bath towel men red yellow blue content bath towel,22,119
2,64d5d4a258243731dc7bbb1eef49ad74,Eurospa Cotton Terry Face Towel Set,Baby Care,"['face', 'towel', 'small', 'height', 'face', 'towel', 'face', 'towel', 'assorted', 'designed', 'soft', 'towel', 'export', 'soft', 'give', 'feeling', 'bath', 'towel', 'last', 'year', 'famous', 'fine', 'print', 'note', 'may', 'may', 'cold', 'iron', 'bleach', 'flat', 'first', 'use', 'face', 'towel', 'face', 'towel', 'face', 'towel', 'assorted', 'bath', 'towel', 'face', 'towel', 'name', 'men', 'small', 'assorted', 'weight', 'content', 'face', 'towel']",face towel small height face towel face towel assorted designed soft towel export soft give feeling bath towel last year famous fine print note may may cold iron bleach flat first use face towel face towel face towel assorted bath towel face towel name men small assorted weight content face towel,51,297
3,d4684dcdc759dd9cdf41504698d737d8,SANTOSH ROYAL FASHION Cotton Printed King sized Double Bedsheet,Home Furnishing,"['royal', 'fashion', 'king', 'royal', 'wedding', 'royal', 'fashion', 'king', 'pillow', 'cover', 'royal', 'fashion', 'flat', 'name', 'gold', 'royal', 'wedding', 'gifted', 'pillow', 'cover', 'king', 'fabric', 'bleach', 'flat', 'sheet', 'fitted', 'sheet', 'pillow', 'cover', 'pillow', 'cover', 'fitted', 'sheet', 'depth', 'fitted', 'sheet', 'flat', 'sheet', 'depth', 'flat', 'sheet', 'content', 'pillow', 'cover']",royal fashion king royal wedding royal fashion king pillow cover royal fashion flat name gold royal wedding gifted pillow cover king fabric bleach flat sheet fitted sheet pillow cover pillow cover fitted sheet depth fitted sheet flat sheet depth flat sheet content pillow cover,44,277
4,6325b6870c54cd47be6ebfbffa620ec7,Jaipur Print Cotton Floral King sized Double Bedsheet,Home Furnishing,"['print', 'floral', 'king', 'print', 'floral', 'king', 'bed', 'sheet', 'pillow', 'cover', 'white', 'nice', 'bed', 'sheet', 'made', 'give', 'comfort', 'bed', 'sheet', 'hand', 'give', 'nice', 'look', 'room', 'fast', 'colour', 'good', 'give', 'long', 'life', 'print', 'floral', 'king', 'bed', 'sheet', 'pillow', 'cover', 'white', 'print', 'flat', 'name', 'thread', 'count', 'fabric', 'bleach', 'king', 'white', 'defect', 'used', 'flat', 'sheet', 'fitted', 'sheet', 'pillow', 'cover', 'pillow', 'cover', 'weight', 'fitted', 'sheet', 'depth', 'fitted', 'sheet', 'flat', 'sheet', 'depth', 'flat', 'sheet', 'content', 'bed', 'sheet', 'pillow', 'cover']",print floral king print floral king bed sheet pillow cover white nice bed sheet made give comfort bed sheet hand give nice look room fast colour good give long life print floral king bed sheet pillow cover white print flat name thread count fabric bleach king white defect used flat sheet fitted sheet pillow cover pillow cover weight fitted sheet depth fitted sheet flat sheet depth flat sheet content bed sheet pillow cover,73,425
5,893aa5ed55f7cff2eccea7758d7a86bd,Maserati Time R8851116001 Analog Watch  - For Boys,Watches,"['time', 'analog', 'watch', 'time', 'analog', 'watch', 'india', 'great', 'discount']",time analog watch time analog watch india great discount,9,56
6,f355cc1ccb08bd0d283ed979b7ee7515,"Camerii WM64 Elegance Analog Watch  - For Men, Boys",Watches,"['analog', 'watch', 'men', 'analog', 'watch', 'men', 'india', 'great', 'discount']",analog watch men analog watch men india great discount,9,54
7,dd0e3470a7e6ed76fd69c2da27721041,T STAR UFT-TSW-005-BK-BR Analog Watch  - For Boys,Watches,"['star', 'analog', 'watch', 'whether', 'way', 'work', 'abroad', 'like', 'watch', 'wallet', 'belt', 'help', 'add', 'touch', 'class', 'regular', 'wear', 'come', 'leather', 'belt', 'designed', 'rest', 'whether', 'way', 'work', 'abroad', 'like', 'watch', 'wallet', 'belt', 'help', 'add', 'touch', 'class', 'regular', 'wear', 'come', 'leather', 'belt', 'designed', 'rest']",star analog watch whether way work abroad like watch wallet belt help add touch class regular wear come leather belt designed rest whether way work abroad like watch wallet belt help add touch class regular wear come leather belt designed rest,41,243
8,41384da51732c0b4df3de8f395714fbb,"Alfajr WY16B Youth Digital Watch  - For Men, Boys",Watches,"['youth', 'watch', 'men', 'youth', 'watch', 'men', 'india', 'time', 'around', 'world', 'prayer', 'great', 'discount']",youth watch men youth watch men india time around world prayer great discount,13,77
9,710ed5f2393a4b9e8823aa0029f71f93,"TAG Heuer CAU1116.BA0858 Formula 1 Analog Watch  - For Boys, Men",Watches,"['tag', 'formula', 'analog', 'watch', 'men', 'tag', 'formula', 'analog', 'watch', 'men', 'india', 'swiss', 'made', 'quartz', 'movement', 'scratch', 'crystal', 'glass', 'chronograph', 'great', 'discount']",tag formula analog watch men tag formula analog watch men india swiss made quartz movement scratch crystal glass chronograph great discount,21,139
